design_id,mission_profile,cost_m_usd,weight_kg,modularity_pct,load_capacity_kg,life_expectancy_years,upgradeability_score,shielding_score,mobility_score,build_time_months,power_capacity_kw,data_throughput_gbps,radiation_tolerance_krad,feasibility_probability,flight_test_outcome,military_satisfaction,engineer_satisfaction,scientist_satisfaction,communications_satisfaction,overall_stakeholder_satisfaction,within_budget_500m,within_timeline_48mo,meets_min_feasibility_70pct,constraint_status,design_lineage,notes
SAT-0033,Communication,524.7,2049.0,39.6,1045.0,5.8,52.8,39.2,62.8,72,38,71.8,110.0,0.674,Pass,47.7,59.6,55.4,44.4,51.8,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0034,Multi-Purpose,447.6,2437.0,22.1,1345.0,8.5,35.3,39.2,54.2,72,38,85.0,100.0,0.704,Fail,54.3,52.1,65.6,47.8,55.0,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0035,Earth Observation,372.5,1575.0,11.0,832.0,6.3,38.7,32.3,50.9,72,38,48.4,60.0,0.693,Pass,51.6,62.5,44.6,27.6,46.6,True,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal timeline
SAT-0036,GPS/Navigation,543.0,1735.0,41.2,726.0,8.5,66.6,81.1,70.2,72,38,44.4,191.0,0.773,Pass,64.9,60.7,56.2,31.5,53.3,False,False,True,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0037,Earth Observation,588.9,2210.0,48.5,1172.0,8.4,68.7,54.1,26.6,72,38,86.1,128.0,0.626,Pass,31.2,54.9,58.6,51.0,48.9,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0038,Earth Observation,582.8,2965.0,58.3,1293.0,10.2,59.4,84.1,14.8,72,38,61.0,166.0,0.616,Partial Pass,48.1,56.3,69.4,30.2,51.0,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0039,Scientific Research,512.0,2778.0,42.1,1236.0,6.5,34.8,71.2,43.0,72,38,82.9,147.0,0.787,Pass,66.9,63.0,59.4,55.0,61.1,False,False,True,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0040,Communication,596.2,1463.0,70.8,608.0,10.3,92.9,68.0,46.2,72,38,59.7,124.0,0.609,Partial Pass,55.6,64.2,27.7,39.0,46.6,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0041,GPS/Navigation,633.4,2888.0,95,1203.0,5.2,74.0,28.4,44.5,72,38,86.6,75.0,0.05,Partial Pass,21.9,52.6,58.0,43.7,44.0,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0042,Communication,495.1,1697.0,37.2,809.0,7.6,45.7,48.9,55.4,72,38,48.7,128.0,0.612,Pass,41.6,54.9,59.4,35.2,47.8,True,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal timeline
SAT-0043,Scientific Research,652.3,3155.0,66.7,1335.0,9.3,63.1,45.5,59.1,72,38,106.5,110.0,0.558,Fail,28.6,61.6,57.0,55.2,50.6,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0044,GPS/Navigation,342.1,1021.0,34.7,374.0,6.3,35.2,45.4,13.4,57.5,33.1,27.7,108.0,0.781,Pass,49.2,62.7,38.8,35.8,46.6,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0045,Security/Defense,660.5,2225.0,43.6,884.0,7.6,31.7,61.7,86.0,72,38,36.3,178.0,0.166,Fail,56.1,40.9,37.8,20.5,38.8,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0046,Multi-Purpose,462.4,1829.0,46.5,564.0,10.8,46.4,75.6,31.3,72,38,31.8,154.0,0.771,Partial Pass,54.1,61.5,60.9,33.2,52.4,True,False,True,Needs Tradeoff Review,Low-Cost Variant,Exceeds nominal timeline; Strong protection profile
SAT-0047,Communication,543.6,1802.0,56.2,608.0,9.8,66.7,51.7,13.6,72,38,29.5,150.0,0.751,Pass,36.4,76.3,33.9,36.3,45.7,False,False,True,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0048,Earth Observation,587.1,2483.0,65.8,926.0,8.0,70.0,46.6,62.2,72,38,66.9,106.0,0.699,Pass,51.4,66.1,43.6,44.1,51.3,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0049,Scientific Research,715.0,3400,87.5,1264.0,10.0,76.0,63.8,16.2,72,38,77.6,176.0,0.05,Fail,35.0,57.9,63.6,44.9,50.4,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0050,Scientific Research,540.0,2295.0,52.7,1046.0,4.9,30.4,49.4,44.1,72,38,76.4,131.0,0.561,Partial Pass,48.5,54.6,51.6,48.5,50.8,False,False,False,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0051,Communication,460.0,1541.0,61.3,610.0,7.5,62.1,41.0,24.4,72,38,32.0,76.0,0.672,Pass,41.4,58.9,42.7,23.6,41.6,True,False,False,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0052,Multi-Purpose,487.9,2247.0,21.5,1076.0,10.1,43.9,69.8,36.1,72,38,61.9,149.0,0.667,Pass,55.3,57.8,50.2,28.1,47.9,True,False,False,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0053,Security/Defense,596.5,1920.0,63.6,544.0,9.4,71.5,67.6,41.1,72,38,33.5,171.0,0.687,Partial Pass,38.1,57.7,31.3,22.6,37.4,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0054,Communication,467.1,2180.0,22.3,959.0,7.9,38.8,53.5,26.9,72,38,58.1,119.0,0.739,Pass,39.5,44.6,49.3,35.2,42.1,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0055,Communication,518.3,1562.0,48.2,632.0,9.6,62.7,52.3,65.7,72,38,38.8,119.0,0.687,Fail,55.2,65.5,41.0,42.5,51.0,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0056,Multi-Purpose,415.1,1635.0,36.5,883.0,8.6,48.6,56.9,47.4,72,38,61.8,136.0,0.87,Partial Pass,52.3,54.9,46.1,38.7,48.0,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0057,Communication,499.6,1887.0,27.9,780.0,9.7,55.7,68.8,42.2,72,38,62.6,164.0,0.671,Fail,60.3,61.1,40.6,38.9,50.2,True,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal timeline
SAT-0058,Multi-Purpose,460.6,2247.0,42.8,930.0,6.0,44.7,25.1,51.4,72,38,53.4,73.0,0.531,Partial Pass,44.6,49.9,44.2,28.1,41.7,True,False,False,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0059,Security/Defense,571.3,2236.0,39.3,931.0,9.8,53.8,82.7,14.5,72,38,67.3,193.0,0.631,Partial Pass,43.6,66.8,45.9,54.3,52.7,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0060,Earth Observation,577.7,2501.0,59.2,1197.0,7.6,66.0,49.1,67.5,72,38,81.4,140.0,0.54,Pass,51.0,56.7,62.3,40.9,52.7,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0061,Earth Observation,567.2,2560.0,57.9,1244.0,9.6,77.6,54.0,38.5,72,38,81.6,129.0,0.515,Fail,57.1,55.3,66.4,54.0,58.2,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0062,Scientific Research,436.6,1358.0,41.5,475.0,8.8,61.3,68.4,14.8,70.9,38,39.7,174.0,0.829,Pass,42.9,65.7,37.4,35.2,45.3,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0063,Multi-Purpose,607.1,2968.0,40.3,1375.0,8.8,40.6,61.7,40.9,72,38,93.2,164.0,0.51,Pass,50.5,47.2,66.2,46.5,52.6,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0064,Earth Observation,464.3,1937.0,26.2,724.0,10.5,48.5,88.8,36.7,72,38,46.6,211.0,0.785,Fail,68.6,64.9,46.6,22.4,50.6,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline; Strong protection profile
SAT-0065,Multi-Purpose,534.9,1954.0,81.8,649.0,9.9,78.9,66.8,30.5,72,38,48.8,163.0,0.155,Partial Pass,49.0,61.8,39.5,52.8,50.8,False,False,False,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0066,Multi-Purpose,593.0,2205.0,56.1,969.0,7.2,87.5,52.8,55.6,72,38,75.7,132.0,0.748,Pass,59.0,60.0,55.2,47.0,55.3,False,False,True,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0067,GPS/Navigation,614.6,2913.0,58.2,1183.0,10.4,82.8,63.4,21.6,72,38,77.9,145.0,0.51,Pass,45.3,64.8,57.1,38.4,51.4,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0068,Security/Defense,641.1,2292.0,44.1,1042.0,10.7,65.1,100.2,50.7,72,38,65.2,240.0,0.732,Pass,54.7,53.9,44.1,20.6,43.3,False,False,True,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0069,Scientific Research,530.1,2119.0,50.7,932.0,7.5,44.9,52.0,49.0,72,38,62.1,129.0,0.791,Pass,37.7,69.2,53.8,32.5,48.3,False,False,True,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0070,Communication,463.5,1992.0,29.3,887.0,10.3,55.2,65.0,5,72,38,37.7,179.0,0.754,Pass,45.9,57.0,55.0,20.7,44.6,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0071,Communication,628.8,1912.0,58.6,793.0,9.5,70.8,54.8,50.2,72,38,68.5,118.0,0.451,Pass,34.5,52.2,45.6,41.4,43.4,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0072,Multi-Purpose,487.6,1734.0,16.3,760.0,10.8,37.0,91.5,57.4,72,38,57.5,216.0,0.756,Pass,50.4,52.6,53.8,43.8,50.2,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline; Strong protection profile
SAT-0073,Multi-Purpose,682.6,3098.0,64.4,1036.0,8.7,59.9,57.7,67.1,72,38,56.8,135.0,0.637,Pass,34.0,58.6,57.1,24.6,43.6,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0074,Security/Defense,657.3,2259.0,56.7,797.0,12.5,96.2,85.0,55.3,72,38,68.2,205.0,0.636,Pass,49.7,61.6,48.0,48.2,51.9,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0075,Communication,543.3,1482.0,60.4,563.0,8.7,79.3,51.0,26.7,72,38,48.0,134.0,0.749,Partial Pass,28.8,79.9,47.0,28.1,45.9,False,False,True,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0076,GPS/Navigation,581.0,2899.0,63.4,1069.0,9.9,54.5,54.1,23.5,72,38,68.0,138.0,0.613,Fail,52.5,67.3,54.7,34.2,52.2,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0077,GPS/Navigation,472.3,2077.0,23.3,773.0,8.4,40.3,70.9,14.1,72,38,54.0,152.0,0.759,Pass,40.5,52.5,42.9,23.8,39.9,True,False,True,Needs Tradeoff Review,Agile-Orbit Variant,Exceeds nominal timeline
SAT-0078,Security/Defense,589.4,1869.0,61.1,725.0,10.1,60.7,79.6,27.1,72,38,56.1,199.0,0.637,Fail,46.3,54.5,41.5,29.8,43.0,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0079,Communication,546.7,2540.0,48.1,1256.0,6.4,58.7,11.1,43.0,72,38,76.9,62.0,0.503,Fail,21.1,60.8,56.6,42.3,45.2,False,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0080,Earth Observation,432.2,1512.0,31.5,733.0,11.5,38.5,70.9,5.9,69.7,38,47.4,182.0,0.829,Pass,46.3,58.8,42.3,21.1,42.1,True,False,True,Needs Tradeoff Review,Baseline,Exceeds nominal timeline
SAT-0081,Earth Observation,544.3,3154.0,29.1,1460.0,9.8,58.5,44.6,30.7,72,38,93.6,105.0,0.75,Pass,27.8,45.0,58.0,44.6,43.9,False,False,True,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0082,Multi-Purpose,540.7,2639.0,29.5,1265.0,8.0,61.6,40.4,41.9,72,38,71.2,83.0,0.732,Pass,28.3,56.0,64.2,49.7,49.5,False,False,True,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0083,Scientific Research,510.4,2489.0,40.5,1205.0,7.9,24.6,40.8,52.7,72,38,68.4,102.0,0.702,Fail,38.6,58.1,61.4,26.2,46.1,False,False,True,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0084,Multi-Purpose,562.4,2129.0,45.9,1065.0,8.0,52.3,78.6,62.2,72,38,72.3,150.0,0.63,Fail,57.0,65.5,39.5,37.3,49.8,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0085,Scientific Research,608.0,2019.0,82.7,675.0,9.0,88.3,48.8,40.4,72,38,48.1,120.0,0.059,Fail,34.9,53.2,34.9,28.5,37.9,False,False,False,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0086,Earth Observation,659.1,3350.0,62.5,1413.0,7.8,68.7,67.5,12.2,72,38,96.3,162.0,0.512,Pass,48.8,64.1,61.5,46.1,55.1,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0087,Multi-Purpose,682.8,3400,58.6,1323.0,7.2,58.1,52.2,55.1,72,38,80.5,150.0,0.552,Pass,48.1,58.2,69.4,41.6,54.3,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0088,Earth Observation,607.1,2535.0,61.3,1076.0,6.1,70.4,41.7,48.8,72,38,68.9,122.0,0.742,Fail,42.4,59.9,61.9,46.7,52.7,False,False,True,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0089,GPS/Navigation,455.4,1651.0,5,816.0,7.9,28.8,64.0,66.6,72,38,58.5,145.0,0.674,Pass,51.3,36.4,56.2,27.6,42.9,True,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal timeline
SAT-0090,Multi-Purpose,529.7,2416.0,62.5,999.0,9.1,60.0,50.4,33.4,72,38,70.5,120.0,0.617,Pass,40.8,49.0,59.0,46.3,48.8,False,False,False,Infeasible Under Current Constraints,Low-Cost Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0091,Multi-Purpose,620.2,2489.0,56.5,1159.0,8.5,38.9,53.6,67.6,72,38,66.7,147.0,0.567,Pass,53.4,59.5,47.9,32.4,48.3,False,False,False,Infeasible Under Current Constraints,Baseline,Exceeds nominal budget; Exceeds nominal timeline
SAT-0092,Multi-Purpose,486.1,1894.0,44.6,861.0,7.0,35.9,40.2,59.8,72,38,65.3,120.0,0.708,Fail,46.5,39.8,43.4,32.4,40.5,True,False,True,Needs Tradeoff Review,Payload-Optimized Variant,Exceeds nominal timeline
SAT-0093,Security/Defense,645.8,3018.0,5.7,1586.0,11.4,32.1,77.9,38.5,72,38,107.4,160.0,0.706,Partial Pass,49.0,45.3,74.7,50.9,55.0,False,False,True,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0094,Communication,699.5,2785.0,70.0,1126.0,11.4,87.1,84.7,31.5,72,38,81.8,196.0,0.583,Fail,45.1,69.3,56.8,60.3,57.9,False,False,False,Infeasible Under Current Constraints,High-Modularity Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
SAT-0095,Communication,530.9,1309.0,62.6,551.0,7.4,57.8,57.5,69.9,65.6,38,39.9,161.0,0.624,Pass,47.2,58.0,27.8,36.7,42.4,False,False,False,Infeasible Under Current Constraints,Agile-Orbit Variant,Exceeds nominal budget; Exceeds nominal timeline
SAT-0096,Multi-Purpose,481.6,2184.0,53.3,1043.0,8.4,53.8,61.5,26.2,72,38,76.6,116.0,0.513,Partial Pass,37.4,59.2,58.6,48.1,50.8,True,False,False,Infeasible Under Current Constraints,Shielded Variant,Exceeds nominal timeline
SAT-0097,Security/Defense,739.1,2665.0,75.6,835.0,9.5,77.6,92.3,64.4,72,38,63.0,194.0,0.447,Pass,76.9,56.3,62.7,55.5,62.8,False,False,False,Infeasible Under Current Constraints,Payload-Optimized Variant,Exceeds nominal budget; Exceeds nominal timeline; Strong protection profile
